plan,cut_edges,polsby_popper,density_score,pop_dev,contiguous
373,18.0,0.5131268000863328,0.65,0.0,1.0
374,18.0,0.5131268000863328,0.75,0.0,1.0
375,18.0,0.5131268000863328,0.65,0.0,1.0
376,18.0,0.5131268000863328,0.65,0.0,1.0
377,18.0,0.5131268000863328,0.7,0.0,1.0
378,19.0,0.4747295565424576,0.6,0.0,1.0
379,19.0,0.4747295565424576,0.55,0.0,1.0
380,19.0,0.4747295565424576,0.7,0.0,1.0
381,19.0,0.4747295565424576,0.6,0.0,1.0
382,19.0,0.4747295565424576,0.6,0.0,1.0
383,18.0,0.5131268000863328,0.7,0.0,1.0
384,20.0,0.43633231299858244,0.7,0.0,1.0
385,19.0,0.4747295565424577,0.7,0.0,1.0
386,18.0,0.5131268000863329,0.65,0.0,1.0
387,19.0,0.4747295565424576,0.65,0.0,1.0
388,20.0,0.43633231299858244,0.6,0.0,1.0
389,20.0,0.43633231299858244,0.65,0.0,1.0
390,20.0,0.43633231299858244,0.6,0.0,1.0
391,18.0,0.5131268000863329,0.6,0.0,1.0
392,19.0,0.4747295565424577,0.7,0.0,1.0
393,19.0,0.4747295565424576,0.65,0.0,1.0
394,19.0,0.4747295565424577,0.7,0.0,1.0
395,19.0,0.4747295565424576,0.65,0.0,1.0
396,18.0,0.5131268000863329,0.6,0.0,1.0
397,19.0,0.4747295565424576,0.65,0.0,1.0
398,18.0,0.5131268000863328,0.6,0.0,1.0
399,18.0,0.5131268000863328,0.6,0.0,1.0
400,19.0,0.4747295565424577,0.6,0.0,1.0
401,20.0,0.43633231299858244,0.5,0.0,1.0
402,19.0,0.4747295565424576,0.5,0.0,1.0
403,20.0,0.43633231299858244,0.6,0.0,1.0
404,20.0,0.43633231299858244,0.5,0.0,1.0
405,19.0,0.4747295565424576,0.55,0.0,1.0
406,19.0,0.4747295565424577,0.6,0.0,1.0
407,19.0,0.4747295565424577,0.6,0.0,1.0
408,20.0,0.43633231299858244,0.5,0.0,1.0
409,19.0,0.4747295565424577,0.6,0.0,1.0
410,19.0,0.4747295565424577,0.7,0.0,1.0
411,20.0,0.43633231299858244,0.7,0.0,1.0
412,19.0,0.4747295565424576,0.65,0.0,1.0
413,20.0,0.43633231299858244,0.6,0.0,1.0
414,19.0,0.4747295565424577,0.8,0.0,1.0
415,20.0,0.43633231299858244,0.7,0.0,1.0
416,20.0,0.43633231299858244,0.8,0.0,1.0
417,18.0,0.5131268000863328,0.75,0.0,1.0
418,19.0,0.4747295565424576,0.65,0.0,1.0
419,19.0,0.4747295565424576,0.75,0.0,1.0
420,19.0,0.4747295565424576,0.65,0.0,1.0
421,20.0,0.43633231299858244,0.7,0.0,1.0
422,19.0,0.4747295565424577,0.7,0.0,1.0
423,20.0,0.43633231299858244,0.65,0.0,1.0
424,19.0,0.4747295565424577,0.7,0.0,1.0
425,19.0,0.4747295565424576,0.65,0.0,1.0
426,19.0,0.4747295565424576,0.6,0.0,1.0
427,20.0,0.43633231299858244,0.6,0.0,1.0
428,19.0,0.4747295565424576,0.6,0.0,1.0
429,19.0,0.4747295565424576,0.6,0.0,1.0
430,19.0,0.4747295565424577,0.7,0.0,1.0
431,20.0,0.43633231299858244,0.7,0.0,1.0
432,19.0,0.4747295565424576,0.6,0.0,1.0
433,19.0,0.4747295565424576,0.65,0.0,1.0
434,18.0,0.5131268000863328,0.65,0.0,1.0
435,18.0,0.5131268000863328,0.6,0.0,1.0
436,19.0,0.4747295565424576,0.55,0.0,1.0
437,20.0,0.43633231299858244,0.5,0.0,1.0
438,20.0,0.43633231299858244,0.5,0.0,1.0
439,20.0,0.43633231299858244,0.5,0.0,1.0
440,19.0,0.4747295565424576,0.65,0.0,1.0
441,18.0,0.5131268000863328,0.6,0.0,1.0
442,18.0,0.5131268000863328,0.6,0.0,1.0
443,18.0,0.5131268000863328,0.6,0.0,1.0
444,19.0,0.4747295565424576,0.5,0.0,1.0
445,20.0,0.43633231299858244,0.6,0.0,1.0
446,20.0,0.43633231299858244,0.6,0.0,1.0
447,19.0,0.4747295565424577,0.65,0.0,1.0
448,19.0,0.4747295565424576,0.7,0.0,1.0
449,19.0,0.4747295565424577,0.7,0.0,1.0
450,19.0,0.4747295565424576,0.65,0.0,1.0
451,19.0,0.4747295565424577,0.65,0.0,1.0
452,19.0,0.4747295565424576,0.6,0.0,1.0
453,20.0,0.43633231299858244,0.6,0.0,1.0
454,19.0,0.4747295565424576,0.6,0.0,1.0
455,20.0,0.43633231299858244,0.6,0.0,1.0
456,20.0,0.43633231299858244,0.6,0.0,1.0
457,19.0,0.4747295565424576,0.6,0.0,1.0
458,19.0,0.4747295565424577,0.65,0.0,1.0
459,18.0,0.5131268000863329,0.6,0.0,1.0
460,18.0,0.5131268000863329,0.7,0.0,1.0
461,20.0,0.43633231299858244,0.6,0.0,1.0
462,20.0,0.43633231299858244,0.7,0.0,1.0
463,18.0,0.5131268000863329,0.6,0.0,1.0
464,20.0,0.43633231299858244,0.6,0.0,1.0
465,18.0,0.5131268000863328,0.65,0.0,1.0
466,18.0,0.5131268000863328,0.6,0.0,1.0
467,19.0,0.4747295565424576,0.55,0.0,1.0
468,20.0,0.43633231299858244,0.5,0.0,1.0
469,20.0,0.43633231299858244,0.5,0.0,1.0
470,19.0,0.4747295565424576,0.6,0.0,1.0
471,20.0,0.43633231299858244,0.55,0.0,1.0
472,19.0,0.4747295565424576,0.6,0.0,1.0
473,19.0,0.4747295565424577,0.55,0.0,1.0
474,19.0,0.4747295565424576,0.5,0.0,1.0
475,20.0,0.43633231299858244,0.5,0.0,1.0
476,19.0,0.4747295565424576,0.5,0.0,1.0
477,19.0,0.4747295565424576,0.55,0.0,1.0
478,19.0,0.4747295565424576,0.55,0.0,1.0
479,19.0,0.4747295565424576,0.5,0.0,1.0
480,19.0,0.4747295565424576,0.65,0.0,1.0
481,18.0,0.5131268000863328,0.6,0.0,1.0
482,18.0,0.5131268000863328,0.55,0.0,1.0
483,17.0,0.5515240436302081,0.6,0.0,1.0
484,19.0,0.4747295565424576,0.55,0.0,1.0
485,18.0,0.5131268000863328,0.5,0.0,1.0
486,19.0,0.4747295565424576,0.45,0.0,1.0
487,18.0,0.5131268000863329,0.65,0.0,1.0
488,20.0,0.43633231299858244,0.55,0.0,1.0
489,20.0,0.43633231299858244,0.5,0.0,1.0
490,20.0,0.43633231299858244,0.5,0.0,1.0
491,19.0,0.4747295565424576,0.6,0.0,1.0
492,20.0,0.43633231299858244,0.6,0.0,1.0
493,17.0,0.5515240436302081,0.65,0.0,1.0
494,19.0,0.4747295565424576,0.55,0.0,1.0
495,19.0,0.4747295565424576,0.55,0.0,1.0
496,19.0,0.4747295565424577,0.6,0.0,1.0
497,18.0,0.5131268000863329,0.55,0.0,1.0
498,19.0,0.4747295565424576,0.5,0.0,1.0
499,20.0,0.43633231299858244,0.5,0.0,1.0
500,19.0,0.4747295565424577,0.45,0.0,1.0
501,20.0,0.43633231299858244,0.4,0.0,1.0
502,20.0,0.43633231299858244,0.9,0.0,1.0
503,20.0,0.43633231299858244,0.8,0.0,1.0
504,18.0,0.5131268000863329,0.8,0.0,1.0
505,18.0,0.5131268000863329,0.8,0.0,1.0
506,20.0,0.43633231299858244,0.8,0.0,1.0
507,20.0,0.43633231299858244,0.8,0.0,1.0
508,20.0,0.43633231299858244,0.7,0.0,1.0
509,18.0,0.5131268000863329,0.7,0.0,1.0
510,20.0,0.43633231299858244,0.7,0.0,1.0
511,20.0,0.43633231299858244,0.7,0.0,1.0
512,19.0,0.4747295565424577,0.65,0.0,1.0
513,18.0,0.5131268000863329,0.7,0.0,1.0
